,movie title,rating,year,duration,rank
0,The Shawshank Redemption,<strong>9.3</strong>,"<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span class=""runtime"">142 min</span>","<span data-value=""1"" name=""nv"">#1</span>"
1,The Godfather,<strong>9.2</strong>,"<span class=""lister-item-year text-muted unbold"">(1972)</span>","<span class=""runtime"">175 min</span>","<span data-value=""2"" name=""nv"">#2</span>"
2,The Dark Knight,<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(2008)</span>","<span class=""runtime"">152 min</span>","<span data-value=""3"" name=""nv"">#3</span>"
3,The Godfather Part II,<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(1974)</span>","<span class=""runtime"">202 min</span>","<span data-value=""4"" name=""nv"">#4</span>"
4,Schindler's List,<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(1993)</span>","<span class=""runtime"">195 min</span>","<span data-value=""6"" name=""nv"">#6</span>"
5,The Lord of the Rings: The Return of the King,<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(2003)</span>","<span class=""runtime"">201 min</span>","<span data-value=""7"" name=""nv"">#7</span>"
6,12 Angry Men,<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(1957)</span>","<span class=""runtime"">96 min</span>","<span data-value=""5"" name=""nv"">#5</span>"
7,Pulp Fiction,<strong>8.9</strong>,"<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span class=""runtime"">154 min</span>","<span data-value=""8"" name=""nv"">#8</span>"
8,The Lord of the Rings: The Fellowship of the Ring,<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(2001)</span>","<span class=""runtime"">178 min</span>","<span data-value=""9"" name=""nv"">#9</span>"
9,Inception,<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(2010)</span>","<span class=""runtime"">148 min</span>","<span data-value=""14"" name=""nv"">#14</span>"
10,Fight Club,<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span class=""runtime"">139 min</span>","<span data-value=""12"" name=""nv"">#12</span>"
11,Forrest Gump,<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span class=""runtime"">142 min</span>","<span data-value=""11"" name=""nv"">#11</span>"
12,The Lord of the Rings: The Two Towers,<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(2002)</span>","<span class=""runtime"">179 min</span>","<span data-value=""13"" name=""nv"">#13</span>"
13,"Il buono, il brutto, il cattivo",<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(1966)</span>","<span class=""runtime"">161 min</span>","<span data-value=""10"" name=""nv"">#10</span>"
14,Jai Bhim,<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(2021)</span>","<span class=""runtime"">164 min</span>","<span data-value=""234"" name=""nv"">#234</span>"
15,GoodFellas,<strong>8.7</strong>,"<span class=""lister-item-year text-muted unbold"">(1990)</span>","<span class=""runtime"">145 min</span>","<span data-value=""17"" name=""nv"">#17</span>"
16,The Matrix,<strong>8.7</strong>,"<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span class=""runtime"">136 min</span>","<span data-value=""16"" name=""nv"">#16</span>"
17,One Flew Over the Cuckoo's Nest,<strong>8.7</strong>,"<span class=""lister-item-year text-muted unbold"">(1975)</span>","<span class=""runtime"">133 min</span>","<span data-value=""18"" name=""nv"">#18</span>"
18,The Empire Strikes Back,<strong>8.7</strong>,"<span class=""lister-item-year text-muted unbold"">(1980)</span>","<span class=""runtime"">124 min</span>","<span data-value=""15"" name=""nv"">#15</span>"
19,Interstellar,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(2014)</span>","<span class=""runtime"">169 min</span>","<span data-value=""25"" name=""nv"">#25</span>"
20,Saving Private Ryan,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1998)</span>","<span class=""runtime"">169 min</span>","<span data-value=""23"" name=""nv"">#23</span>"
21,The Silence of the Lambs,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1991)</span>","<span class=""runtime"">118 min</span>","<span data-value=""22"" name=""nv"">#22</span>"
22,Se7en,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1995)</span>","<span class=""runtime"">127 min</span>","<span data-value=""19"" name=""nv"">#19</span>"
23,Star Wars,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1977)</span>","<span class=""runtime"">121 min</span>","<span data-value=""28"" name=""nv"">#28</span>"
24,The Green Mile,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span class=""runtime"">189 min</span>","<span data-value=""27"" name=""nv"">#27</span>"
25,Sen to Chihiro no kamikakushi,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(2001)</span>","<span class=""runtime"">125 min</span>","<span data-value=""31"" name=""nv"">#31</span>"
26,La vita è bella,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1997)</span>","<span class=""runtime"">116 min</span>","<span data-value=""26"" name=""nv"">#26</span>"
27,Terminator 2: Judgment Day,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1991)</span>","<span class=""runtime"">137 min</span>","<span data-value=""29"" name=""nv"">#29</span>"
28,Cidade de Deus,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(2002)</span>","<span class=""runtime"">130 min</span>","<span data-value=""24"" name=""nv"">#24</span>"
29,It's a Wonderful Life,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1946)</span>","<span class=""runtime"">130 min</span>","<span data-value=""21"" name=""nv"">#21</span>"
30,Shichinin no samurai,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1954)</span>","<span class=""runtime"">207 min</span>","<span data-value=""20"" name=""nv"">#20</span>"
31,Seppuku,<strong>8.6</strong>,"<span class=""lister-item-year text-muted unbold"">(1962)</span>","<span class=""runtime"">133 min</span>","<span data-value=""45"" name=""nv"">#45</span>"
32,Gisaengchung,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(2019)</span>","<span class=""runtime"">132 min</span>","<span data-value=""34"" name=""nv"">#34</span>"
33,The Departed,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(2006)</span>","<span class=""runtime"">151 min</span>","<span data-value=""39"" name=""nv"">#39</span>"
34,Whiplash,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(2014)</span>","<span class=""runtime"">106 min</span>","<span data-value=""42"" name=""nv"">#42</span>"
35,Casablanca,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1942)</span>","<span class=""runtime"">102 min</span>","<span data-value=""43"" name=""nv"">#43</span>"
36,Léon,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span class=""runtime"">110 min</span>","<span data-value=""35"" name=""nv"">#35</span>"
37,Gladiator,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(2000)</span>","<span class=""runtime"">155 min</span>","<span data-value=""37"" name=""nv"">#37</span>"
38,Alien,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1979)</span>","<span class=""runtime"">117 min</span>","<span data-value=""51"" name=""nv"">#51</span>"
39,Back to the Future,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1985)</span>","<span class=""runtime"">116 min</span>","<span data-value=""30"" name=""nv"">#30</span>"
40,The Prestige,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(2006)</span>","<span class=""runtime"">130 min</span>","<span data-value=""40"" name=""nv"">#40</span>"
41,Apocalypse Now,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1979)</span>","<span class=""runtime"">147 min</span>","<span data-value=""53"" name=""nv"">#53</span>"
42,The Lion King,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span class=""runtime"">88 min</span>","<span data-value=""36"" name=""nv"">#36</span>"
43,The Usual Suspects,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1995)</span>","<span class=""runtime"">106 min</span>","<span data-value=""41"" name=""nv"">#41</span>"
44,The Pianist,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(2002)</span>","<span class=""runtime"">150 min</span>","<span data-value=""32"" name=""nv"">#32</span>"
45,American History X,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1998)</span>","<span class=""runtime"">119 min</span>","<span data-value=""38"" name=""nv"">#38</span>"
46,The Intouchables,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(2011)</span>","<span class=""runtime"">112 min</span>","<span data-value=""46"" name=""nv"">#46</span>"
47,Psycho,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1960)</span>","<span class=""runtime"">109 min</span>","<span data-value=""33"" name=""nv"">#33</span>"
48,Once Upon a Time in the West,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1968)</span>","<span class=""runtime"">165 min</span>","<span data-value=""48"" name=""nv"">#48</span>"
49,Hotaru no haka,<strong>8.5</strong>,"<span class=""lister-item-year text-muted unbold"">(1988)</span>","<span class=""runtime"">89 min</span>","<span data-value=""44"" name=""nv"">#44</span>"
